rank,fit,verdict,type,university,course,degree,universityCity,universityState,domainHits,focus,feePerYear,admissionSemester,admissionModus,detailUrl
"198","42","MAYBE","Hochschule","Georg Simon Ohm University of Applied Sciences Nuremberg","Intelligent & Autonomous Systems","Master's degree, Master","Nürnberg","Bavaria","Systems Engineering, Robotics, Artificial Intelligence, Engineering Informatics","Autonomous Systems, Medical Technologies","","Summer Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/georg-simon-ohm-university-of-applied-sciences-nuremberg-intelligent-autonomous-systems-w74175/?hec-id=w74175"
"199","42","MAYBE","University","Heidelberg University","Mathematics of Machine Learning and Data Science","Master, Master","Heidelberg","Baden-Württemberg","Applied Mathematics, Mathematics, Artificial Intelligence, Data Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/heidelberg-university-mathematics-of-machine-learning-and-data-science-w72792/?hec-id=w72792"
"200","42","MAYBE","TU","Karlsruhe Institute of Technology (KIT)","Financial Engineering","Master, Master","Karlsruhe","Baden-Württemberg","Information Systems and Management","Data Science, Predictive Analytics, Machine Learning, Risk Management, Financial Technology, Financial Modelling with Python, Digital Transformation in Financial Services, Asset Management, Smart Beta Portfolios, Semantic Technologies","18000","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/karlsruhe-institute-of-technology-kit-financial-engineering-w31781/?hec-id=w31781"
"201","42","MAYBE","University","Leuphana University Lüneburg","Management & Data Science","Master of Science, Master","Lüneburg","Lower Saxony","Information Systems and Management, Applied Computer Science, Theoretical Computer Science","Forecasting and Simulation, Data Economy, Probabilistic Models, Data Privacy, Big Data, Data Analysis, Network Analysis, Data Mining, Machine Learning","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/leuphana-university-lueneburg-management-data-science-w49048/?hec-id=w49048"
"202","42","MAYBE","University","Munich University of Technology","Computational Science and Engineering (CSE)","Master of Science, Master","Garching","Bavaria","Applied Mathematics, Computer Science","Numerical Analysis, Computer Architecture and Networks, Parallel Programming, Programming of Supercomputers, Visualisation, Computational Fluid Mechanics","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-computational-science-and-engineering-cse-w6204/?hec-id=w6204"
"203","42","MAYBE","University","Munich University of Technology","Computational Mechanics","Master of Science, Master","München","Bavaria","Applied Computer Science","Artificial intelligence & Uncertainty Quantification, Structural and Fluid Mechanics, Modeling and Simulation, Numerical Analysis, Engineering Computation","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-computational-mechanics-w6207/?hec-id=w6207"
"204","42","MAYBE","University","Munich University of Technology","Information Technologies for the Built Environment","Master of Science, Master","München","Bavaria","Geoinformatics, Engineering Informatics","","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-information-technologies-for-the-built-environment-w65257/?hec-id=w65257"
"205","42","MAYBE","University","Munich University of Technology","Microelectronics and Chip Design","Master of Science, Master","München","Bavaria","Microelectronics, Computer Science","","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-microelectronics-and-chip-design-w72322/?hec-id=w72322"
"206","42","MAYBE","University","Ruhr University Bochum","Cognitive Science","Master of Science, Master","Bochum","North Rhine-Westphalia","Computer Science","Cognitive Science","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/ruhr-university-bochum-cognitive-science-w40119/?hec-id=w40119"
"207","42","MAYBE","University","Saarland University","Educational Technology","Master of Science, Master","Saarbrücken","Saarland","Computer Science","Educational Technology, Education Theory, Psychology, Education Science, Computer Science","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-educational-technology-w34385/?hec-id=w34385"
"208","42","MAYBE","University","Sports University of Cologne","Human Technology in Sports and Medicine","Master of Science, Master","Köln","North Rhine-Westphalia","Computer Science","Mathematics & Physics, Biomechanics and Mechanobiology, Data Management and Data Analysis, Anthropometry and Ergonomics/Sports Science, Sports Sciences, Material & Construction, Orthopaedic Aids, Prosthetics, Orthotics, Bionics, Robotics/Orthopaedic Technologies, Footwear and Floors/Footwear, Apparel and Playing Surfaces, Sports Equipment and Sportswear/Sports Equipment and Instrumentation, Modelling and Simulation, Materials Testing and Performance Diagnostics/Performance Diagnostics in Sport, Medicine and Rehabilitation","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/sports-university-of-cologne-human-technology-in-sports-and-medicine-w19928/?hec-id=w19928"
"209","42","MAYBE","TU","Technical University Braunschweig","Computational science in engineering","Master of Science, Master","Braunschweig","Lower Saxony","Applied Mathematics, Engineering Informatics","Applied Mathematics, Computational Engineering and Methods, Solid and Structural Mechanics, Fluid Mechanics, Information Technology, Modelling and Simulation, Numerical Analysis","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-braunschweig-computational-science-in-engineering-w5668/?hec-id=w5668"
"210","42","MAYBE","Hochschule","Technische Hochschule Ingolstadt","Entrepreneurship and Corporate Venturing","Master of Science, Master","Ingolstadt","Bavaria","Technology Management, Software Engineering, Data Science","Entrepreneurial Methods, AI & Smart Data Science, Entrepreneurship Project, Digital Business Management & Technologies, Finance & Growth Management, Intellectual Property Management, Management, Technologies","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-ingolstadt-entrepreneurship-and-corporate-venturing-w64706/?hec-id=w64706"
"211","42","MAYBE","Hochschule","Technische Hochschule Ingolstadt","Sociotechnical Cybersecurity","Master of Science, Master","Ingolstadt","Bavaria","Computer Science","Cybersecurity, Mathematics, Computer Science and Programming, Sociotechnical Systems, Management, Psychology and Sociology","","Summer Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-ingolstadt-sociotechnical-cybersecurity-w74173/?hec-id=w74173"
"212","42","MAYBE","TU","Technische Universität Dresden","Computational Modelling and Simulation","Master of Science, Master","Dresden","Saxony","Applied Mathematics, Bioinformatics, Artificial Intelligence, Applied Computer Science, Computer Science","Computational Life Sciences, Computer Mathematics, Visual Computing, Computational Engineering, Computational Modelling in Energy Economics, Logic Modelling, Applied Artificial Intelligence (from winter semester of 2023/24)","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-universitaet-dresden-computational-modelling-and-simulation-w61589/?hec-id=w61589"
"213","42","MAYBE","TU","Technische Universität Dresden","Transportation Economics","Master of Science, Master","Dresden","Saxony","Statistics, Data Science","Computer-aided Logistics, Transport Policy, Regional and Environmental Economics, Statistics, Data Analysis / Data Science in Traffic Systems","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-universitaet-dresden-transportation-economics-w64848/?hec-id=w64848"
"214","42","MAYBE","Hochschule","University of Applied Sciences Bremen","Engineering and Management of Space Systems","Master, Master","Bremen","Bremen","Electrical Engineering, Computer Science","Space Technologies, Computer Science, Electronics Engineering","","Summer Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-bremen-engineering-and-management-of-space-systems-w70007/?hec-id=w70007"
"215","42","MAYBE","University","University of Bayreuth","Philosophy & Computer Science","Master of Arts oder Master of Science, Master","Bayreuth","Bavaria","Computer Science","Minds and Machines, Mathematical Thinking, Machine Ethics, Data Modelling & Analysis","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bayreuth-philosophy-computer-science-w70334/?hec-id=w70334"
"216","42","MAYBE","University","University of Bonn","Artificial Intelligence","Master of Science, Master","Bonn","North Rhine-Westphalia","Artificial Intelligence, Computer Science, Data Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bonn-artificial-intelligence-w76659/?hec-id=w76659"
"217","42","MAYBE","University","University of Bremen","Artificial Intelligence and Intelligent Systems","Master of Arts, Master","Bremen","Bremen","Computer Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bremen-artificial-intelligence-and-intelligent-systems-w70018/?hec-id=w70018"
"218","42","MAYBE","University","University of Düsseldorf","Artificial Intelligence and Data Science","Master of Science, Master","Düsseldorf","North Rhine-Westphalia","Artificial Intelligence, Data Science","Machine Learning, Deep Learning, Reinforcement Learning, Natural Language Processing, Bayesian Statistics, Algorithmic Game Theory, Machine translation","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-duesseldorf-artificial-intelligence-and-data-science-w63894/?hec-id=w63894"
"219","42","MAYBE","University","University of Göttingen","Computational Biology and Bioinformatics","Master of Science, Master","Göttingen","Lower Saxony","Bioinformatics, Computer Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-goettingen-computational-biology-and-bioinformatics-w65338/?hec-id=w65338"
"220","42","MAYBE","University","University of Hamburg","Intelligent Adaptive Systems","Master of Science, Master","Hamburg","Hamburg","Computer Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hamburg-intelligent-adaptive-systems-w39157/?hec-id=w39157"
"221","42","MAYBE","University","University of Hamburg","Marine Ecosystem and Fisheries Science","Master of Science, Master","Hamburg","Hamburg","Mathematics, Computer Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hamburg-marine-ecosystem-and-fisheries-science-w63568/?hec-id=w63568"
"222","42","MAYBE","University","University of Konstanz","Social and Economic Data Science","Master of Science, Master","Konstanz","Baden-Württemberg","Mathematics, Statistics, Computer Science","Mathematics, Statistics, Computer Science, Social Sciences, Econometrics, Big Data, Data Analysis","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-konstanz-social-and-economic-data-science-w42184/?hec-id=w42184"
"223","42","MAYBE","University","University of Potsdam","Cognitive Systems: Language, Learning and Reasoning","Master of Science, Master","Potsdam","Brandenburg","Computational Linguistics, Applied Computer Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-cognitive-systems-language-learning-and-reasoning-w44744/?hec-id=w44744"
"224","42","MAYBE","University","University of Potsdam","Digital Health at the Hasso Plattner Institute","Master of Science, Master","Potsdam","Brandenburg","Medical Informatics, Applied Computer Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-digital-health-at-the-hasso-plattner-institute-w60523/?hec-id=w60523"
"225","42","MAYBE","University","University of Potsdam","Climate, Earth, Water, Sustainability","Master's, Master","Potsdam","Brandenburg","Applied Computer Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-climate-earth-water-sustainability-w64854/?hec-id=w64854"
"226","42","MAYBE","University","University of Regensburg","Human-Centred Artificial Intelligence","Master of Science, Master","Regensburg","Bavaria","Practical Computer Science","Human-Centred AI, AI for Human Computer Interaction, Information Behaviour, Computational Human-Centred AI","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-regensburg-human-centred-artificial-intelligence-w73745/?hec-id=w73745"
"227","42","MAYBE","University","University of Technology Nuremberg","Artificial Intelligence & Robotics","Master of Science, Master","Nürnberg","Bavaria","Mathematics, Robotics, Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Mobile Robot Navigation, Machine Learning, Computer Vision, Deep Learning, Data Engineering","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-technology-nuremberg-artificial-intelligence-robotics-w70197/?hec-id=w70197"
"228","42","MAYBE","University","University of Technology Nuremberg","Human & Artificial Intelligence","Master of Science / Master of Arts, Master","Nürnberg","Bavaria","Computer Science","","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-technology-nuremberg-human-artificial-intelligence-w72570/?hec-id=w72570"
"229","42","MAYBE","University","University of Ulm","Cognitive Systems","Master of Science, Master","Ulm","Baden-Württemberg","Artificial Intelligence, Computer Science","Computer Vision and Pattern Recognition, Language Comprehension and Dialogue Systems, Cognitive Neurosciences, Companion Systems, Learning Psychology and Serious Games, Human-Computer Interaction and Human Factors, Cognitive Ergonomics, Perceptual and Attentive User Interfaces, Spatial Cognition","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-ulm-cognitive-systems-w47553/?hec-id=w47553"
"230","42","MAYBE","University","University of Würzburg","Satellite Technology","Master of Science, Master","Würzburg","Bavaria","Mathematics, Computer Science","","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-wuerzburg-satellite-technology-w61581/?hec-id=w61581"
"231","42","MAYBE","Hochschule","West Saxon University of Applied Sciences of Zwickau","Internet of Things and Smart Systems","Master of Engineering (MEng), Master","Zwickau","Saxony","Computer Science","design and usability, business, advanced programming skills","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/west-saxon-university-of-applied-sciences-of-zwickau-internet-of-things-and-smart-systems-w65273/?hec-id=w65273"
"232","42","MAYBE","Hochschule","West Saxon University of Applied Sciences of Zwickau","Embedded and Autonomous Systems","Master of Science (MSc), Master","Zwickau","Saxony","Electrical Engineering, Computer Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/west-saxon-university-of-applied-sciences-of-zwickau-embedded-and-autonomous-systems-w72321/?hec-id=w72321"
"233","40","MAYBE","Private","SRH University of Applied Sciences Heidelberg","Information Technology - Artificial Intelligence","Master of Engineering, Master","Heidelberg","Baden-Württemberg","Artificial Intelligence","","9240","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-information-technology-artificial-intelligence-w76947/?hec-id=w76947"
"234","40","MAYBE","Hochschule","University of Applied Sciences Emden/Leer","Business Informatics","Master's, Master","Emden","Lower Saxony","Computer Science","","11960","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-emdenleer-business-informatics-w78022/?hec-id=w78022"
"235","38","MAYBE","Hochschule","Albstadt-Sigmaringen University - University of Engineering and Economics","Industrial Artificial Intelligence","Master of Science, Master","Albstadt","Baden-Württemberg","Artificial Intelligence","","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/albstadt-sigmaringen-university-university-of-engineering-and-economics-industrial-artificial-intelligence-w73251/?hec-id=w73251"
"236","38","MAYBE","University","Munich University of Technology","Data & Society","Master of Science, Master","München","Bavaria","Artificial Intelligence","","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-data-society-w71729/?hec-id=w71729"
"237","38","MAYBE","University","Munich University of Technology","Information Systems (Business Informatics)","Master of Science, Master","Garching","Bavaria","Information Systems and Management","","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-information-systems-business-informatics-w7857/?hec-id=w7857"
"238","38","MAYBE","Hochschule","Technische Hochschule Ingolstadt","Engineering and Management","Master of Science, Master","Ingolstadt","Bavaria","Technology Management, Artificial Intelligence","International Management, Digital Marketing, Software Engineering, Business Analytics & Artificial Intelligence, Management Accounting & International Taxation, Entrepreneurship & Innovation Management","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-ingolstadt-engineering-and-management-w64711/?hec-id=w64711"
"239","38","MAYBE","Hochschule","Technische Hochschule Ingolstadt","AI Engineering of Autonomous Systems","Master of Engineering, Master","Ingolstadt","Bavaria","Automation Technology, Artificial Intelligence","Data Engineering, Machine Perception, Systems Engineering, Systems Simulation, Computing and Connectivity Technologies, Sensor Networks Technologies, Sensor Data Fusion","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-ingolstadt-ai-engineering-of-autonomous-systems-w67521/?hec-id=w67521"
"240","38","MAYBE","University","University of Mannheim","Business computing","Master of Science, Master","Mannheim","Baden-Württemberg","Information Systems and Management","","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-mannheim-business-computing-w26555/?hec-id=w26555"
"241","38","MAYBE","University","University of Mannheim","Mannheim Master in Management Analytics and AI","Master of Arts, Master","Mannheim","Baden-Württemberg","Data Science","Financial Analytics, Marketing Analytics, Strategic Management, Data Management, Decision Technology, Data Science for Business, Data Visualisation & Storytelling, Introduction into Machine Learning, Computer Vision & Image Mining","14500","Summer Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-mannheim-mannheim-master-in-management-analytics-and-ai-w64074/?hec-id=w64074"
"242","38","MAYBE","University","University of Mannheim","Mannheim Master of Applied Data Science & Measurement","Master of Science, Master","Mannheim","Baden-Württemberg","Statistics, Data Science","Research Questions, Data Generating Process, Data Curation/Storage, Data Analysis, Data Output/Access","11250","Admission only in the summer quarter","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-mannheim-mannheim-master-of-applied-data-science-measurement-w64350/?hec-id=w64350"
"243","38","MAYBE","University","University of Münster","Information Systems","Master of Science, Master","Münster","North Rhine-Westphalia","Information Systems and Management","","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-muenster-information-systems-w22519/?hec-id=w22519"
"244","36","MAYBE","Private","Constructor University","Computer Science and Software Engineering","Master of Science, Master","Bremen","Bremen","Artificial Intelligence, Computer Science, Software Engineering","","20000","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/constructor-university-computer-science-and-software-engineering-w68298/?hec-id=w68298"
